09-14 20:34:36.619 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:36.619 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=13135 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:34:37.615 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -72 -71 -65 -61 -63 -56 -63 -60 -51 -64 -78 -68 -60 -52 -55 -56 -52 -59 -67 -68 -71 -74 -70 -74 -74 -71 -74 -78 -77 -76 -72 -71 
09-14 20:34:37.620 21801  4840 I wDSP_SpectrumEngine: POWER32 -116 -115 -97 -90 -92 -74 -78 -75 -65 -77 -82 -69 -61 -51 -54 -57 -47 -59 -70 -69 -73 -76 -72 -74 -72 -65 -70 -79 -78 -78 -77 -78 
09-14 20:34:37.621 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:37.621 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:37.621 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=13229 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:34:38.617 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -73 -72 -69 -67 -58 -58 -62 -60 -52 -65 -78 -68 -65 -54 -59 -77 -54 -66 -69 -68 -73 -75 -76 -81 -78 -73 -72 -78 -77 -74 -70 -71 
09-14 20:34:38.623 21801  4840 I wDSP_SpectrumEngine: POWER32 -101 -100 -92 -88 -84 -76 -78 -79 -63 -73 -85 -69 -64 -53 -60 -70 -48 -60 -68 -67 -71 -77 -73 -72 -73 -66 -69 -79 -78 -77 -77 -80 
09-14 20:34:38.623 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:38.623 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:38.623 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=13322 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:34:39.619 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -76 -75 -58 -56 -56 -54 -70 -62 -51 -66 -81 -64 -60 -48 -54 -58 -52 -60 -63 -67 -74 -74 -77 -79 -76 -73 -72 -79 -74 -72 -70 -69 
09-14 20:34:39.624 21801  4840 I wDSP_SpectrumEngine: POWER32 -109 -108 -85 -80 -78 -76 -85 -80 -62 -75 -83 -65 -58 -50 -54 -57 -48 -58 -63 -66 -72 -73 -71 -72 -74 -66 -69 -78 -76 -75 -74 -76 
09-14 20:34:39.625 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:39.625 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:39.625 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=13416 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:34:40.621 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -61 -60 -65 -62 -58 -53 -59 -59 -62 -72 -78 -70 -63 -54 -55 -63 -53 -60 -68 -70 -71 -74 -77 -80 -79 -73 -73 -81 -76 -77 -75 -72 
09-14 20:34:40.625 21801  4840 I wDSP_SpectrumEngine: POWER32 -96 -95 -92 -92 -80 -74 -79 -75 -71 -78 -81 -69 -60 -52 -58 -66 -49 -61 -74 -72 -73 -71 -73 -74 -75 -66 -71 -79 -78 -78 -77 -78 
09-14 20:34:40.625 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:40.625 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:40.625 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=13510 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:34:41.638 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -57 -56 -52 -53 -60 -58 -65 -63 -53 -78 -86 -69 -59 -52 -55 -91 -53 -48 -67 -47 -49 -70 -74 -78 -75 -70 -73 -76 -73 -71 -68 -67 
09-14 20:34:41.643 21801  4840 I wDSP_SpectrumEngine: POWER32 -94 -93 -85 -81 -84 -79 -83 -81 -63 -87 -88 -69 -59 -52 -56 -72 -48 -51 -72 -43 -47 -75 -72 -74 -71 -65 -69 -78 -76 -75 -75 -76 
09-14 20:34:41.644 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:41.644 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
